"","X","CustomerID","Spend","Bills","Visits","Qty","FreeQty","FPD","LPD","ATV","ABS","APP","CUTLERY_spend","CUTLERy_bills","DL_spend","DL_bills","DAILYUSE_spend","DAILYUSE_bills","HOD_spend","HOD_bills","ACC_spend","ACC_bills","FURN_spend","FURN_bills","STATIONARY_spend","STATIONARY_bills","Game_spend","Game_bills","BATH_spend","BATH_bills","UK_geo_purchaser","as.factor(k_P6$cluster)","as.factor(k_P6$cluster)","as.factor(k_P6$cluster)","k_P6$cluster"
"328",923,13581,118,1,1,30,0,"2011-02-03","2011-02-03",118,30,3.93333333333333,3.75,1,17.7,1,0,0,70,1,2.95,1,0,0,23.6,1,0,0,0,0,1,"6","6","6",6
"329",924,13583,781.03,1,1,725,0,"2011-07-07","2011-07-07",781.03,725,1.07728275862069,248.35,1,96.52,1,57.9,1,147.62,1,96.6,1,30,1,104.04,1,0,0,0,0,1,"2","3","3",3
"330",925,13584,142.4,1,1,37,0,"2011-02-06","2011-02-06",142.4,37,3.84864864864865,18.45,1,5.8,1,5.85,1,17.95,1,41.4,1,0,0,52.95,1,0,0,0,0,1,"6","1","1",1
"331",926,13587,712.4,1,1,180,0,"2011-10-07","2011-10-07",712.4,180,3.95777777777778,0,0,0,0,99.6,1,85.8,1,503.6,1,0,0,23.4,1,0,0,0,0,1,"5","6","6",6
"332",933,13594,396.97,1,1,359,0,"2011-10-18","2011-10-18",396.97,359,1.10576601671309,53.88,1,90,1,50.7,1,47.88,1,2.5,1,0,0,152.01,1,0,0,0,0,1,"6","1","1",1
"333",935,13598,180.17,1,1,58,0,"2011-10-23","2011-10-23",180.17,58,3.10637931034483,60.95,1,0.85,1,8.85,1,18.3,1,32.54,1,42,1,2.95,1,13.73,1,0,0,1,"2","3","3",3
"334",937,13600,219.52,1,1,324,0,"2011-01-31","2011-01-31",219.52,324,0.677530864197531,47.9,1,0,0,50.35,1,73.9,1,2.52,1,0,0,44.85,1,0,0,0,0,1,"5","1","1",1
"335",939,13602,428.89,1,1,267,0,"2011-10-06","2011-10-06",428.89,267,1.60632958801498,46.54,1,14.85,1,0,0,110.1,1,90.1,1,0,0,167.3,1,0,0,0,0,1,"6","6","6",6
"336",940,13603,164.34,1,1,164,0,"2011-11-13","2011-11-13",164.34,164,1.00207317073171,5.45,1,6.25,1,0,0,76.81,1,0,0,34.9,1,40.93,1,0,0,0,0,1,"2","3","3",3
"337",942,13607,678.01,1,1,290,0,"2011-10-30","2011-10-30",678.01,290,2.33796551724138,69.6,1,49.14,1,102.54,1,259.01,1,37.87,1,89.5,1,55.35,1,15,1,0,0,1,"2","3","3",3
"338",946,13615,417.69,1,1,189,0,"2011-01-25","2011-01-25",417.69,189,2.21,118.05,1,0,0,65.25,1,175.74,1,23.25,1,0,0,35.4,1,0,0,0,0,1,"5","1","1",1
"339",948,13618,177.34,1,1,246,0,"2011-06-19","2011-06-19",177.34,246,0.720894308943089,0,0,0,0,6.96,1,80.18,1,90.2,1,0,0,0,0,0,0,0,0,1,"4","6","6",6
"340",949,13621,213.85,1,1,343,0,"2011-08-15","2011-08-15",213.85,343,0.623469387755102,54.85,1,0,0,15,1,32.4,1,5.04,1,0,0,66.36,1,40.2,1,0,0,1,"5","1","1",1
"341",951,13626,257.23,1,1,209,0,"2011-04-01","2011-04-01",257.23,209,1.23076555023923,52.05,1,0,0,43.58,1,86.4,1,10.2,1,15,1,50,1,0,0,0,0,1,"6","1","1",1
"342",958,13635,1071.03,1,1,677,0,"2011-10-03","2011-10-03",1071.03,677,1.58202363367799,93.02,1,80.76,1,229.17,1,236.58,1,102.28,1,22.5,1,170.82,1,135.9,1,0,0,1,"2","3","3",3
"343",961,13638,122.64,1,1,93,0,"2011-11-24","2011-11-24",122.64,93,1.31870967741935,17.34,1,0,0,21.96,1,25.5,1,0,0,0,0,57.84,1,0,0,0,0,1,"6","6","6",6
"344",962,13639,1033.34,1,1,800,0,"2011-09-26","2011-09-26",1033.34,800,1.291675,117,1,0,0,109.86,1,397.32,1,0,0,0,0,409.16,1,0,0,0,0,1,"6","6","6",6
"345",963,13642,354.8,1,1,173,0,"2011-05-08","2011-05-08",354.8,173,2.05086705202312,80.79,1,55.15,1,8.7,1,89.7,1,72.14,1,0.65,1,47.67,1,0,0,0,0,1,"2","3","3",3
"346",966,13645,252.1,1,1,158,0,"2011-08-11","2011-08-11",252.1,158,1.59556962025316,0,0,0,0,0,0,19.9,1,0,0,232.2,1,0,0,0,0,0,0,1,"4","2","2",2
"347",979,13663,189.47,1,1,91,0,"2011-06-13","2011-06-13",189.47,91,2.08208791208791,39.3,1,26.33,1,0,0,123.84,1,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"348",981,13667,305.02,1,1,154,0,"2011-07-13","2011-07-13",305.02,154,1.98064935064935,76.05,1,13.75,1,66.68,1,116.08,1,21.16,1,0,0,11.3,1,0,0,0,0,1,"6","1","1",1
"349",984,13670,349.7,1,1,282,0,"2011-09-25","2011-09-25",349.7,282,1.24007092198582,71.18,1,0,0,15,1,85.9,1,30,1,0,0,125.12,1,22.5,1,0,0,1,"5","1","1",1
"350",988,13678,232.6,1,1,924,0,"2011-07-11","2011-07-11",232.6,924,0.251731601731602,32.64,1,0,0,46.8,1,110.56,1,0,0,0,0,42.6,1,0,0,0,0,1,"6","6","6",6
"351",991,13682,59.5,1,1,10,0,"2011-06-05","2011-06-05",59.5,10,5.95,0,0,34,1,25.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"352",992,13684,67.23,1,1,39,0,"2011-02-27","2011-02-27",67.23,39,1.72384615384615,7.15,1,21.4,1,1.65,1,26.15,1,10.88,1,0,0,0,0,0,0,0,0,1,"6","6","6",6
"353",994,13686,72,1,1,70,0,"2011-06-10","2011-06-10",72,70,1.02857142857143,0,0,0,0,0,0,0,0,51,1,0,0,0,0,21,1,0,0,1,"4","2","2",2
"354",995,13689,910,1,1,512,0,"2011-10-07","2011-10-07",910,512,1.77734375,0,0,0,0,0,0,194,1,716,1,0,0,0,0,0,0,0,0,1,"4","2","2",2
"355",996,13690,172.25,1,1,67,0,"2011-10-11","2011-10-11",172.25,67,2.57089552238806,138.65,1,0,0,0,0,15.9,1,0,0,0,0,17.7,1,0,0,0,0,1,"6","6","6",6
"356",1000,13697,151.3,1,1,177,0,"2011-11-01","2011-11-01",151.3,177,0.854802259887006,17,1,30,1,17,1,66.72,1,0,0,0,0,20.58,1,0,0,0,0,1,"6","6","6",6
"357",1001,13699,308.58,1,1,66,0,"2011-07-07","2011-07-07",308.58,66,4.67545454545455,31.8,1,0,0,31.8,1,244.98,1,0,0,0,0,0,0,0,0,0,0,1,"6","6","6",6
"358",1003,13703,99.5,1,1,10,0,"2011-01-25","2011-01-25",99.5,10,9.95,99.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"359",1006,13706,330.79,1,1,189,0,"2011-02-10","2011-02-10",330.79,189,1.75021164021164,118.95,1,35.4,1,0,0,83.12,1,13.52,1,0,0,79.8,1,0,0,0,0,1,"6","6","6",6
"360",1008,13708,296.88,1,1,306,0,"2011-03-13","2011-03-13",296.88,306,0.970196078431372,18.45,1,29.2,1,0,0,89.39,1,38.03,1,5.8,1,69.24,1,46.77,1,0,0,1,"2","3","3",3
"361",1010,13710,180.48,1,1,176,0,"2011-11-08","2011-11-08",180.48,176,1.02545454545455,67.2,1,0,0,0,0,78.48,1,15,1,0,0,0,0,19.8,1,0,0,1,"6","6","6",6
"362",1011,13711,252.06,2,1,140,0,"2011-05-05","2011-05-05",126.03,70,1.80042857142857,141.96,2,17.7,1,17.85,1,35.7,2,0,0,0,0,21,1,17.85,1,0,0,1,"3","5","5",5
"363",1012,13712,228.84,1,1,352,0,"2011-04-07","2011-04-07",228.84,352,0.650113636363636,30.3,1,0,0,76.2,1,17.7,1,36,1,0,0,40.8,1,27.84,1,0,0,1,"5","1","1",1
"364",1014,13716,138.28,1,1,138,0,"2011-03-15","2011-03-15",138.28,138,1.00202898550725,41.13,1,53.9,1,0,0,9.3,1,8.5,1,0,0,20.4,1,5.05,1,0,0,1,"5","1","1",1
"365",1019,13721,524.14,1,1,316,0,"2011-11-03","2011-11-03",524.14,316,1.65867088607595,39.75,1,65,1,53.85,1,215.54,1,30,1,0,0,70.2,1,49.8,1,0,0,1,"5","1","1",1
"366",1021,13723,199.85,1,1,43,0,"2011-05-06","2011-05-06",199.85,43,4.64767441860465,152.65,1,47.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"367",1028,13732,491.86,1,1,498,0,"2011-11-11","2011-11-11",491.86,498,0.987670682730924,157.26,1,82.5,1,0,0,68.92,1,5.04,1,15,1,65.64,1,97.5,1,0,0,1,"2","3","3",3
"368",1031,13737,339.6,1,1,125,0,"2011-05-23","2011-05-23",339.6,125,2.7168,124.21,1,2.1,1,81.9,1,59.67,1,49.5,1,0,0,17.27,1,4.95,1,0,0,1,"5","1","1",1
"369",1032,13739,216.9,1,1,54,0,"2011-11-21","2011-11-21",216.9,54,4.01666666666667,0,0,175.2,1,0,0,41.7,1,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"370",1033,13740,350.75,1,1,425,0,"2011-04-13","2011-04-13",350.75,425,0.825294117647059,184.95,1,0,0,43.8,1,88.4,1,0,0,0,0,33.6,1,0,0,0,0,1,"6","6","6",6
"371",1038,13745,300.04,1,1,496,0,"2011-06-30","2011-06-30",300.04,496,0.60491935483871,9.96,1,4.56,1,26.52,1,83.86,1,0,0,59.22,1,115.92,1,0,0,0,0,1,"2","3","3",3
"372",1039,13747,79.6,1,1,8,0,"2010-12-01","2010-12-01",79.6,8,9.95,0,0,79.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"373",1042,13751,296.25,1,1,152,0,"2011-02-24","2011-02-24",296.25,152,1.94901315789474,0,0,4.2,1,23.6,1,0,0,165,1,7.6,1,87.9,1,7.95,1,0,0,1,"2","3","3",3
"374",1044,13753,741.26,1,1,512,0,"2011-02-25","2011-02-25",741.26,512,1.4477734375,62.4,1,0,0,19.8,1,396.5,1,79.56,1,58.2,1,124.8,1,0,0,0,0,1,"6","1","1",1
"375",1052,13762,306.72,1,1,272,0,"2011-05-05","2011-05-05",306.72,272,1.12764705882353,73.2,1,164.4,1,0,0,69.12,1,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"376",1053,13763,1714.96,1,1,728,0,"2011-10-07","2011-10-07",1714.96,728,2.35571428571429,69.6,1,0,0,428.4,1,69.6,1,355.2,1,0,0,792.16,1,0,0,0,0,1,"5","1","1",1
"377",1059,13774,345,1,1,192,0,"2011-09-19","2011-09-19",345,192,1.796875,134.2,1,0,0,10.2,1,190.4,1,0,0,0,0,10.2,1,0,0,0,0,1,"6","6","6",6
"378",1061,13778,178.7,1,1,70,0,"2011-08-28","2011-08-28",178.7,70,2.55285714285714,8.25,1,0,0,14.85,1,82.45,1,9.9,1,0,0,63.25,1,0,0,0,0,1,"5","1","1",1
"379",1063,13781,127.84,1,1,30,0,"2011-04-03","2011-04-03",127.84,30,4.26133333333333,14.9,1,0,0,20.15,1,53.39,1,0,0,39.4,1,0,0,0,0,0,0,1,"6","6","6",6
"380",1066,13786,230.4,1,1,136,0,"2010-12-07","2010-12-07",230.4,136,1.69411764705882,0,0,113.4,1,60,1,39.6,1,0,0,0,0,17.4,1,0,0,0,0,1,"6","6","6",6
"381",1068,13790,348.8,1,1,748,0,"2011-12-05","2011-12-05",348.8,748,0.466310160427808,48.36,1,18.72,1,0,0,44.28,1,87,1,0,0,150.44,1,0,0,0,0,1,"6","6","6",6
"382",1073,13800,558.32,1,1,331,0,"2011-02-03","2011-02-03",558.32,331,1.68676737160121,198,1,0,0,23.6,1,209.64,1,0,0,0,0,79.68,1,47.4,1,0,0,1,"5","1","1",1
"383",1074,13801,324.8,1,1,168,0,"2011-10-04","2011-10-04",324.8,168,1.93333333333333,84.85,1,0,0,36.9,1,166.85,1,0,0,11.9,1,24.3,1,0,0,0,0,1,"6","6","6",6
"384",1076,13803,277.07,1,1,121,0,"2011-03-29","2011-03-29",277.07,121,2.2898347107438,48.85,1,33.3,1,28.8,1,74.9,1,33.32,1,0,0,32.7,1,25.2,1,0,0,1,"5","1","1",1
"385",1079,13806,256.38,1,1,56,0,"2011-10-07","2011-10-07",256.38,56,4.57821428571429,118.5,1,70.2,1,0,0,0,0,19.8,1,0,0,35.4,1,12.48,1,0,0,1,"5","1","1",1
"386",1080,13807,112.6,1,1,36,0,"2010-12-07","2010-12-07",112.6,36,3.12777777777778,26.2,1,34.8,1,0,0,19.8,1,0,0,15.9,1,0,0,15.9,1,0,0,1,"2","3","3",3
"387",1082,13809,155.05,1,1,29,0,"2011-02-07","2011-02-07",155.05,29,5.34655172413793,44.85,1,50.15,1,0,0,52.1,1,0,0,7.95,1,0,0,0,0,0,0,0,"6","2","2",2
"388",1096,13826,189.5,1,1,82,0,"2011-06-16","2011-06-16",189.5,82,2.3109756097561,143.3,1,0,0,46.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"389",1098,13828,209.49,1,1,311,0,"2011-11-17","2011-11-17",209.49,311,0.673601286173634,45.45,1,0,0,0,0,30.28,1,58.1,1,0,0,75.66,1,0,0,0,0,1,"6","6","6",6
"390",1100,13832,52.2,1,1,28,0,"2011-11-20","2011-11-20",52.2,28,1.86428571428571,17.4,1,15,1,0,0,19.8,1,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"391",1101,13833,384.8,1,1,118,0,"2011-07-03","2011-07-03",384.8,118,3.26101694915254,101.05,1,60,1,19.9,1,117.95,1,36.8,1,15.9,1,9.9,1,23.3,1,0,0,1,"2","3","3",3
"392",1105,13841,85,1,1,100,0,"2011-04-01","2011-04-01",85,100,0.85,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"393",1107,13844,361.62,1,1,196,0,"2011-11-28","2011-11-28",361.62,196,1.845,34.74,1,40.8,1,29.7,1,157.24,1,41.6,1,0,0,47.34,1,10.2,1,0,0,1,"5","1","1",1
"394",1108,13845,312.98,1,1,182,0,"2011-10-06","2011-10-06",312.98,182,1.71967032967033,102,1,26.56,1,30,1,136.72,1,0,0,0,0,17.7,1,0,0,0,0,1,"6","6","6",6
"395",1112,13850,1595.48,1,1,944,0,"2011-08-02","2011-08-02",1595.48,944,1.69012711864407,296.7,1,17.4,1,99.45,1,537.17,1,462.5,1,0,0,182.26,1,0,0,0,0,1,"6","1","1",1
"396",1114,13853,1090.14,1,1,312,0,"2011-10-13","2011-10-13",1090.14,312,3.49403846153846,865.14,1,0,0,9.36,1,153.24,1,62.4,1,0,0,0,0,0,0,0,0,1,"6","6","6",6
"397",1117,13858,216.17,1,1,75,0,"2011-10-13","2011-10-13",216.17,75,2.88226666666667,86.52,1,10.2,1,49.35,1,51.35,1,0,0,0,0,0,0,18.75,1,0,0,1,"6","6","6",6
"398",1118,13859,201.16,1,1,129,0,"2011-01-17","2011-01-17",201.16,129,1.55937984496124,14.7,1,46.1,1,3.44,1,82.31,1,0,0,0,0,42.71,1,11.9,1,0,0,1,"5","1","1",1
"399",1121,13863,305.78,1,1,224,0,"2011-04-06","2011-04-06",305.78,224,1.36508928571429,48.7,1,0,0,41.6,1,133.08,1,44.6,1,15,1,22.8,1,0,0,0,0,1,"6","1","1",1
"400",1123,13866,145.67,1,1,57,0,"2011-09-26","2011-09-26",145.67,57,2.55561403508772,39.75,1,15,1,17.7,1,34.68,1,27.04,1,11.5,1,0,0,0,0,0,0,1,"2","3","3",3
"401",1130,13874,540.45,1,1,180,0,"2010-12-16","2010-12-16",540.45,180,3.0025,76.5,1,81.6,1,59.9,1,100.5,1,204.25,1,0,0,17.7,1,0,0,0,0,1,"6","1","1",1
"402",1132,13876,122.7,1,1,36,0,"2011-10-07","2011-10-07",122.7,36,3.40833333333333,0,0,15,1,23.9,1,38.8,1,0,0,0,0,19.8,1,25.2,1,0,0,1,"5","1","1",1
"403",1133,13877,117.24,1,1,108,0,"2011-09-14","2011-09-14",117.24,108,1.08555555555556,0,0,69.6,1,30.24,1,0,0,0,0,17.4,1,0,0,0,0,0,0,1,"4","2","2",2
"404",1134,13878,1281.53,1,1,475,0,"2011-10-16","2011-10-16",1281.53,475,2.69795789473684,92.52,1,445,1,261,1,312.66,1,29.7,1,98.5,1,42.15,1,0,0,0,0,1,"2","3","3",3
"405",1141,13886,243.56,1,1,126,0,"2011-09-29","2011-09-29",243.56,126,1.93301587301587,51.3,1,60.2,1,32.3,1,74.76,1,0,0,25,1,0,0,0,0,0,0,1,"2","3","3",3
"406",1142,13887,349.55,1,1,147,0,"2011-05-19","2011-05-19",349.55,147,2.37789115646258,19.92,1,47.56,1,15,1,218.77,1,0,0,0,0,48.3,1,0,0,0,0,1,"6","6","6",6
"407",1144,13889,416.9,1,1,146,0,"2011-09-08","2011-09-08",416.9,146,2.85547945205479,0,0,30,1,178,1,208.9,1,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"408",1147,13893,821.1,1,1,190,0,"2011-02-15","2011-02-15",821.1,190,4.32157894736842,170.5,1,0,0,0,0,156,1,306,1,0,0,188.6,1,0,0,0,0,1,"6","6","6",6
"409",1150,13897,311.16,1,1,200,0,"2011-10-20","2011-10-20",311.16,200,1.5558,23.4,1,0,0,19.56,1,151.74,1,0,0,0,0,116.46,1,0,0,0,0,1,"6","6","6",6
"410",1151,13898,155.93,1,1,133,0,"2011-01-18","2011-01-18",155.93,133,1.17240601503759,106.61,1,15,1,0,0,15,1,10.2,1,0,0,9.12,1,0,0,0,0,1,"6","6","6",6
"411",1162,13922,172.25,1,1,93,0,"2010-12-23","2010-12-23",172.25,93,1.85215053763441,30,1,17.7,1,0,0,33.9,1,90.65,1,0,0,0,0,0,0,0,0,1,"6","6","6",6
"412",1163,13923,351.13,1,1,185,0,"2011-10-17","2011-10-17",351.13,185,1.898,15,1,35.4,1,31.7,1,243.83,1,0,0,0,0,25.2,1,0,0,0,0,1,"6","6","6",6
"413",1166,13926,223.85,1,1,104,0,"2011-11-16","2011-11-16",223.85,104,2.15240384615385,57.65,1,20.4,1,12.6,1,104.6,1,0,0,0,0,13.6,1,15,1,0,0,1,"5","1","1",1
"414",1167,13927,348.99,1,1,214,0,"2011-09-26","2011-09-26",348.99,214,1.63079439252336,63.5,1,0,0,45.8,1,93.9,1,104.84,1,0,0,40.95,1,0,0,0,0,1,"5","1","1",1
"415",1172,13932,307.4,1,1,72,0,"2011-02-18","2011-02-18",307.4,72,4.26944444444444,30.45,1,0,0,61.2,1,203.85,1,0,0,0,0,11.9,1,0,0,0,0,1,"6","6","6",6
"416",1174,13934,922.1,1,1,390,0,"2011-03-21","2011-03-21",922.1,390,2.36435897435897,174.45,1,0,0,0,0,397.95,1,19.8,1,0,0,239.9,1,90,1,0,0,1,"5","1","1",1
"417",1175,13936,376.58,1,1,330,0,"2011-06-13","2011-06-13",376.58,330,1.14115151515152,88,1,0,0,86.64,1,97.78,1,30.6,1,0,0,73.56,1,0,0,0,0,1,"5","1","1",1
"418",1176,13937,158.85,1,1,123,0,"2011-06-23","2011-06-23",158.85,123,1.29146341463415,32.25,1,48,1,6.6,1,72,1,0,0,0,0,0,0,0,0,0,0,1,"6","6","6",6
"419",1177,13938,71.66,1,1,70,0,"2011-11-04","2011-11-04",71.66,70,1.02371428571429,43.36,1,0,0,19.8,1,0,0,8.5,1,0,0,0,0,0,0,0,0,1,"4","6","6",6
"420",1182,13947,90.6,1,1,44,0,"2011-10-05","2011-10-05",90.6,44,2.05909090909091,17.7,1,0,0,0,0,59.4,1,0,0,0,0,13.5,1,0,0,0,0,1,"6","6","6",6
"421",1183,13948,102,1,1,40,0,"2010-12-14","2010-12-14",102,40,2.55,46.8,1,23.4,1,0,0,0,0,0,0,31.8,1,0,0,0,0,0,0,1,"4","2","2",2
"422",1196,13967,80.7,1,1,42,0,"2011-07-17","2011-07-17",80.7,42,1.92142857142857,0,0,45,1,0,0,35.7,1,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"423",1200,13973,264.7,1,1,109,0,"2011-02-25","2011-02-25",264.7,109,2.42844036697248,52.55,1,45,1,30.15,1,68,1,58.5,1,0,0,10.5,1,0,0,0,0,1,"6","1","1",1
"424",1201,13974,413.59,1,1,249,0,"2011-10-21","2011-10-21",413.59,249,1.66100401606426,0,0,0,0,87.15,1,137.72,1,0,0,0,0,188.72,1,0,0,0,0,1,"6","6","6",6
"425",1203,13976,357.98,1,1,154,0,"2011-05-17","2011-05-17",357.98,154,2.32454545454545,49.52,1,99.36,1,0,0,78,1,0,0,67.5,1,63.6,1,0,0,0,0,1,"2","3","3",3
"426",1205,13979,869.87,1,1,639,0,"2011-09-27","2011-09-27",869.87,639,1.36129890453834,85.23,1,58.42,1,49.5,1,246.98,1,254.48,1,0,0,158.66,1,16.6,1,0,0,1,"5","1","1",1
"427",1206,13980,200.14,1,1,172,0,"2011-10-10","2011-10-10",200.14,172,1.16360465116279,0,0,0,0,10.2,1,125.14,1,0,0,64.8,1,0,0,0,0,0,0,1,"4","2","2",2
"428",1211,13986,320.46,1,1,430,0,"2011-11-22","2011-11-22",320.46,430,0.745255813953488,22.5,1,185.4,1,60.6,1,11.56,1,0,0,0,0,40.4,1,0,0,0,0,1,"6","6","6",6
"429",1214,13990,311.3,1,1,190,0,"2011-05-10","2011-05-10",311.3,190,1.63842105263158,88.42,1,0,0,62.1,1,21.1,1,58.2,1,0,0,10.08,1,71.4,1,0,0,1,"5","1","1",1
"430",1216,13992,76.8,1,1,64,0,"2011-11-09","2011-11-09",76.8,64,1.2,0,0,0,0,0,0,0,0,17,1,0,0,40,1,19.8,1,0,0,1,"4","2","2",2
"431",1221,14000,635.66,1,1,710,0,"2011-05-12","2011-05-12",635.66,710,0.895295774647887,169.7,1,76.8,1,136.2,1,53.1,1,131.76,1,0,0,68.1,1,0,0,0,0,1,"6","1","1",1
"432",1228,14012,328.8,1,1,160,0,"2011-03-07","2011-03-07",328.8,160,2.055,0,0,0,0,37.2,1,165.7,1,69.6,1,23.6,1,32.7,1,0,0,0,0,1,"6","1","1",1
"433",1230,14014,505.18,1,1,1076,0,"2011-09-23","2011-09-23",505.18,1076,0.469498141263941,67.08,1,66,1,28.08,1,226.62,1,18.96,1,0,0,98.44,1,0,0,0,0,1,"6","1","1",1
"434",1231,14015,917.34,1,1,378,0,"2011-10-18","2011-10-18",917.34,378,2.4268253968254,389.88,1,0,0,90.9,1,172.8,1,49.92,1,0,0,72,1,141.84,1,0,0,1,"5","1","1",1
"435",1236,14022,440,1,1,487,0,"2011-04-28","2011-04-28",440,487,0.903490759753593,13.2,1,52.8,1,40.2,1,114.26,1,5.04,1,0,0,100.38,1,114.12,1,0,0,1,"5","1","1",1
"436",1239,14027,104.82,1,1,62,0,"2011-10-10","2011-10-10",104.82,62,1.69064516129032,35.16,1,0,0,0,0,44.7,1,0,0,0,0,24.96,1,0,0,0,0,1,"6","6","6",6
"437",1246,14036,626.65,1,1,268,0,"2011-02-28","2011-02-28",626.65,268,2.33824626865672,43.5,1,0,0,126.45,1,381.7,1,49.5,1,0,0,25.5,1,0,0,0,0,1,"5","1","1",1
"438",1249,14039,152.2,1,1,92,0,"2011-11-06","2011-11-06",152.2,92,1.65434782608696,69.6,1,0,0,0,0,0,0,82.6,1,0,0,0,0,0,0,0,0,1,"4","2","2",2
"439",1251,14041,141.41,1,1,94,0,"2011-03-18","2011-03-18",141.41,94,1.50436170212766,56.04,1,15,1,52.65,1,0,0,0,0,2.55,1,15.17,1,0,0,0,0,1,"2","3","3",3
"440",1254,14046,154.99,1,1,460,0,"2011-02-28","2011-02-28",154.99,460,0.336934782608696,45.57,1,69.6,1,0,0,36.42,1,0,0,0,0,3.4,1,0,0,0,0,1,"6","6","6",6
"441",1256,14048,409.93,1,1,288,0,"2011-02-07","2011-02-07",409.93,288,1.42336805555556,7.05,1,89.95,1,13.3,1,121.04,1,70.03,1,0,0,81.66,1,26.9,1,0,0,1,"5","1","1",1
"442",1260,14052,225.36,1,1,89,0,"2011-11-20","2011-11-20",225.36,89,2.53213483146067,37.58,1,7.45,1,7.03,1,84.32,1,10.49,1,26.95,1,46.14,1,5.4,1,0,0,1,"2","3","3",3
"443",1262,14054,92.46,1,1,62,0,"2011-10-05","2011-10-05",92.46,62,1.49129032258065,0,0,0,0,0,0,9.96,1,82.5,1,0,0,0,0,0,0,0,0,1,"4","2","2",2
"444",1263,14055,725.64,1,1,216,0,"2011-08-25","2011-08-25",725.64,216,3.35944444444445,139.25,1,69.6,1,41.75,1,46.52,1,428.52,1,0,0,0,0,0,0,0,0,1,"6","6","6",6
"445",1266,14059,183.6,1,1,128,0,"2011-03-18","2011-03-18",183.6,128,1.434375,39.6,1,10.2,1,23.4,1,51,1,19.8,1,0,0,39.6,1,0,0,0,0,1,"6","1","1",1
"446",1270,14066,152.55,1,1,45,0,"2011-03-18","2011-03-18",152.55,45,3.39,60.9,1,0,0,0,0,91.65,1,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"447",1272,14068,265.85,1,1,73,0,"2011-01-23","2011-01-23",265.85,73,3.64178082191781,75.65,1,59,1,52.15,1,11.85,1,0,0,0,0,67.2,1,0,0,0,0,1,"6","6","6",6
"448",1274,14073,151.04,1,1,130,0,"2011-11-07","2011-11-07",151.04,130,1.16184615384615,0,0,59.48,1,0,0,58.04,1,22.02,1,11.5,1,0,0,0,0,0,0,1,"2","3","3",3
"449",1276,14076,122.47,1,1,81,0,"2011-08-02","2011-08-02",122.47,81,1.51197530864198,22.69,1,6.65,1,13.05,1,11.42,1,17.4,1,16.95,1,17.43,1,16.88,1,0,0,1,"2","3","3",3
"450",1279,14079,375.1,1,1,301,0,"2011-08-07","2011-08-07",375.1,301,1.24617940199336,34.15,1,0,0,226.2,1,41.85,1,0,0,0,0,72.9,1,0,0,0,0,1,"6","6","6",6
"451",1280,14080,45.6,1,1,48,0,"2011-11-07","2011-11-07",45.6,48,0.95,0,0,0,0,35.4,1,10.2,1,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"452",1282,14082,182.25,1,1,110,0,"2010-12-10","2010-12-10",182.25,110,1.65681818181818,34.15,1,0,0,60.25,1,51.95,1,3.3,1,0,0,27.6,1,5,1,0,0,1,"5","1","1",1
"453",1285,14087,194.42,1,1,251,0,"2011-12-07","2011-12-07",194.42,251,0.774581673306773,20.05,1,23.65,1,17.71,1,6.75,1,8.25,1,0,0,106.82,1,11.19,1,0,0,1,"5","1","1",1
"454",1287,14089,161,1,1,134,0,"2011-10-14","2011-10-14",161,134,1.20149253731343,0,0,0,0,0,0,21.5,1,0,0,0,0,138.25,1,1.25,1,0,0,1,"4","6","6",6
"455",1288,14090,76.32,1,1,72,0,"2011-01-19","2011-01-19",76.32,72,1.06,76.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"4","2","2",2
"456",1290,14093,442.85,1,1,406,0,"2011-11-27","2011-11-27",442.85,406,1.09076354679803,107.32,1,12.5,1,102.16,1,39.12,1,75.78,1,0,0,77.47,1,28.5,1,0,0,1,"5","1","1",1
"457",1292,14098,147.35,1,1,104,0,"2011-11-03","2011-11-03",147.35,104,1.41682692307692,67.7,1,1.25,1,9.75,1,7.65,1,2.08,1,0,0,54.37,1,4.55,1,0,0,1,"5","1","1",1
"458",1294,14100,194.9,1,1,64,0,"2011-07-25","2011-07-25",194.9,64,3.0453125,42.15,1,14.75,1,46.35,1,70.95,1,0,0,0,0,20.7,1,0,0,0,0,1,"6","6","6",6
